,forecast,"absolute error, gCO2/kWh","absolute error, gCO2/kWh","absolute error, gCO2/kWh",percentage absolute error,percentage absolute error,percentage absolute error
,count,mean,sem,95% confidence interval,mean,sem,95% confidence interval
2023-03-14,903.0,15.1,0.32,"(14.46, 15.73)",10.69,0.27,"(10.15, 11.22)"
2023-03-15,3099.0,17.65,0.26,"(17.14, 18.16)",11.24,0.23,"(10.8, 11.69)"
2023-03-16,4405.0,26.1,0.19,"(25.71, 26.48)",27.01,0.22,"(26.57, 27.45)"
2023-03-17,4417.0,34.86,0.25,"(34.37, 35.36)",23.75,0.26,"(23.23, 24.26)"
2023-03-18,4415.0,32.79,0.35,"(32.11, 33.47)",22.71,0.32,"(22.09, 23.34)"
2023-03-19,3678.0,50.35,0.73,"(48.92, 51.79)",50.59,0.89,"(48.84, 52.34)"
2023-03-20,1921.0,49.53,0.53,"(48.48, 50.57)",25.74,0.27,"(25.22, 26.26)"
2023-03-21,1430.0,17.29,0.32,"(16.65, 17.93)",16.82,0.28,"(16.27, 17.37)"
2023-03-22,2551.0,11.25,0.17,"(10.92, 11.58)",17.74,0.3,"(17.15, 18.32)"
2023-03-23,3873.0,15.94,0.14,"(15.68, 16.21)",23.72,0.25,"(23.23, 24.21)"
2023-03-24,3696.0,10.88,0.1,"(10.67, 11.08)",18.15,0.18,"(17.8, 18.51)"
2023-03-25,3212.0,17.46,0.32,"(16.82, 18.09)",18.85,0.2,"(18.47, 19.23)"
2023-03-26,2167.0,17.58,0.2,"(17.2, 17.97)",13.54,0.16,"(13.23, 13.85)"
2023-03-27,3859.0,22.47,0.29,"(21.9, 23.05)",12.88,0.19,"(12.51, 13.24)"
2023-03-28,3954.0,25.57,0.27,"(25.05, 26.09)",17.59,0.18,"(17.24, 17.94)"
2023-03-29,3962.0,14.65,0.15,"(14.36, 14.95)",13.3,0.19,"(12.93, 13.66)"
2023-03-30,2615.0,20.1,0.2,"(19.71, 20.49)",21.53,0.22,"(21.1, 21.95)"
2023-04-03,1.0,1.0,,"(nan, nan)",0.58,,"(nan, nan)"
2023-04-04,1046.0,41.02,0.75,"(39.55, 42.48)",23.35,0.49,"(22.39, 24.31)"
2023-04-05,3140.0,31.29,0.41,"(30.5, 32.09)",14.62,0.19,"(14.25, 15.0)"
2023-04-06,3883,32.55,0.36,"(31.84, 33.26)",19.05,0.2,"(18.65, 19.45)"
2023-04-07,4158,24.17,0.38,"(23.43, 24.91)",13.45,0.22,"(13.02, 13.88)"
2023-04-08,4014,18.08,0.19,"(17.7, 18.46)",9.9,0.11,"(9.69, 10.11)"
2023-04-09,3366,22.51,0.26,"(22.0, 23.03)",22.19,0.29,"(21.62, 22.75)"
2023-04-10,3522,29.11,0.29,"(28.55, 29.67)",56.18,0.78,"(54.65, 57.72)"
2023-04-11,4194,23.9,0.27,"(23.36, 24.43)",22.63,0.23,"(22.19, 23.08)"
2023-04-12,4272,34.87,0.29,"(34.29, 35.44)",34.23,0.23,"(33.78, 34.67)"
2023-04-13,267,10.83,0.41,"(10.03, 11.63)",14.8,0.55,"(13.72, 15.88)"
