,Very Low (up to),Low,Low,Moderate,Moderate,High,High,Very High (and above)
Year / Index,to,from,to,from,to,from,to,from
2017,99,100,199,200,299,300,400,401
2018,79,80,179,180,279,280,380,381
2019,59,60,159,160,259,260,360,361
2020,54,55,149,150,229,230,350,351
2021,49,50,139,140,219,220,330,331
2022,44,45,129,130,209,210,310,311
2023,39,40,119,120,199,200,290,291
2024,34,35,109,110,189,190,270,271
2025,29,30,99,100,179,180,250,251
2026,24,25,89,90,169,170,230,231
2027,19,20,79,80,159,160,210,211
2028,14,15,69,70,149,150,190,191
2029,9,10,59,60,139,140,170,171
2030,4,5,49,50,129,130,150,151
