from,biomass,coal,gas,hydro,imports,nuclear,other,solar,wind
2023-06-19T02:30Z,3.6,0.0,45.3,0.3,3.1,17.3,0.0,0.0,30.4
2023-06-19T03:00Z,3.7,0.0,42.8,0.3,3.0,17.4,0.0,0.2,32.6
2023-06-19T03:30Z,3.7,0.0,39.8,0.3,2.3,17.5,0.0,0.2,36.2
2023-06-19T04:00Z,3.5,0.0,37.6,0.4,2.5,16.9,0.0,0.2,38.7
2023-06-19T04:30Z,3.1,0.0,37.3,0.5,3.6,16.0,0.0,1.2,38.3
2023-06-19T05:00Z,3.1,0.0,41.2,0.5,3.6,14.7,0.0,2.5,34.5
2023-06-19T05:30Z,2.8,0.0,42.1,0.5,6.1,13.4,0.0,4.0,31.2
2023-06-19T06:00Z,2.6,0.0,41.0,0.5,6.0,12.6,0.0,5.5,31.8
2023-06-19T06:30Z,2.5,0.0,39.9,0.5,7.9,12.0,0.0,7.2,30.0
2023-06-19T07:00Z,2.5,0.0,39.9,0.5,7.9,11.8,0.0,9.5,28.1
2023-06-19T07:30Z,2.4,0.0,40.4,0.4,7.5,11.4,0.0,11.6,26.3
2023-06-19T08:00Z,2.3,0.0,39.0,0.3,7.2,11.2,0.0,13.5,26.6
2023-06-19T08:30Z,2.4,0.0,38.3,0.3,6.2,11.2,0.0,15.2,26.5
2023-06-19T09:00Z,2.3,0.0,37.8,0.4,6.0,11.1,0.0,16.8,25.5
2023-06-19T09:30Z,2.3,0.0,37.8,0.4,5.1,11.2,0.0,18.4,24.8
2023-06-19T10:00Z,2.2,0.0,36.9,0.2,5.0,11.1,0.0,19.6,24.9
2023-06-19T10:30Z,2.1,0.0,36.0,0.2,5.5,10.9,0.0,20.5,24.7
2023-06-19T11:00Z,2.1,0.0,35.0,0.2,5.3,10.8,0.0,21.3,25.2
2023-06-19T11:30Z,2.1,0.0,34.0,0.2,6.0,10.9,0.0,21.3,25.6
2023-06-19T12:00Z,2.1,0.0,32.8,0.2,6.0,11.0,0.0,21.1,26.7
2023-06-19T12:30Z,2.1,0.0,31.9,0.2,6.7,11.1,0.0,21.3,26.8
2023-06-19T13:00Z,2.2,0.0,31.7,0.2,6.8,11.3,0.0,21.4,26.5
2023-06-19T13:30Z,2.2,0.1,31.8,0.2,5.7,11.6,0.0,21.4,27.0
2023-06-19T14:00Z,2.2,0.4,33.4,0.2,5.7,11.5,0.0,20.4,26.0
2023-06-19T14:30Z,2.2,0.8,37.9,0.3,3.7,11.6,0.0,19.2,24.3
2023-06-19T15:00Z,2.2,1.2,39.5,0.5,3.5,11.4,0.0,17.5,24.2
2023-06-19T15:30Z,2.2,1.4,41.2,0.6,3.8,11.4,0.0,15.3,24.1
2023-06-19T16:00Z,2.2,1.5,43.5,0.8,3.9,11.4,0.0,13.4,23.3
2023-06-19T16:30Z,2.3,1.4,43.9,1.4,4.8,11.5,0.0,11.5,23.3
2023-06-19T17:00Z,2.3,1.5,45.9,2.0,5.0,11.7,0.0,9.3,22.3
2023-06-19T17:30Z,2.3,1.5,46.2,2.3,6.9,11.8,0.0,7.2,21.8
2023-06-19T18:00Z,2.3,1.6,47.9,2.4,7.1,12.0,0.0,5.2,21.4
2023-06-19T18:30Z,2.4,2.2,49.5,2.4,6.6,12.4,0.0,3.5,21.0
2023-06-19T19:00Z,2.5,2.6,51.1,2.0,6.7,12.7,0.0,2.0,20.4
2023-06-19T19:30Z,2.6,2.3,52.9,1.6,6.0,13.2,0.0,0.8,20.6
2023-06-19T20:00Z,2.6,1.7,52.8,1.5,6.0,13.4,0.0,0.1,21.9
2023-06-19T20:30Z,2.7,1.2,52.4,1.1,5.6,13.8,0.0,0.1,23.1
2023-06-19T21:00Z,2.7,0.7,51.3,0.4,5.6,14.3,0.0,0.1,24.8
2023-06-19T21:30Z,2.8,0.0,53.6,0.3,3.3,14.6,0.0,0.0,25.3
2023-06-19T22:00Z,2.9,0.0,52.1,0.3,3.1,15.1,0.0,0.1,26.3
2023-06-19T22:30Z,3.0,0.0,53.7,0.3,1.7,15.5,0.0,0.0,25.8
2023-06-19T23:00Z,3.0,0.0,54.8,0.3,1.5,15.7,0.0,0.0,24.7
2023-06-19T23:30Z,3.0,0.0,57.7,0.3,0.0,15.9,0.0,0.0,23.1
2023-06-20T00:00Z,3.0,0.0,59.2,0.3,0.0,16.1,0.0,0.0,21.3
2023-06-20T00:30Z,3.0,0.0,60.5,0.3,0.0,16.3,0.0,0.0,19.8
2023-06-20T01:00Z,3.1,0.0,60.2,0.3,0.0,16.6,0.0,0.0,19.9
2023-06-20T01:30Z,3.1,0.0,60.1,0.3,0.0,16.6,0.0,0.0,19.8
2023-06-20T02:00Z,3.1,0.0,59.9,0.3,0.0,17.1,0.0,0.0,19.7
