from,intensity.forecast,intensity.actual
2023-03-15T15:00Z,207,206
2023-03-15T15:30Z,210,203
2023-03-15T16:00Z,206,202
2023-03-15T16:30Z,211,204
2023-03-15T17:00Z,211,204
2023-03-15T17:30Z,211,203
2023-03-15T18:00Z,203,203
2023-03-15T18:30Z,202,199
2023-03-15T19:00Z,196,198
2023-03-15T19:30Z,180,193
2023-03-15T20:00Z,177,190
2023-03-15T20:30Z,178,172
2023-03-15T21:00Z,174,148
2023-03-15T21:30Z,158,123
2023-03-15T22:00Z,140,100
2023-03-15T22:30Z,115,80
2023-03-15T23:00Z,100,70
2023-03-15T23:30Z,79,63
2023-03-16T00:00Z,71,62
2023-03-16T00:30Z,66,64
2023-03-16T01:00Z,63,62
2023-03-16T01:30Z,62,62
2023-03-16T02:00Z,64,62
2023-03-16T02:30Z,59,63
2023-03-16T03:00Z,68,60
2023-03-16T03:30Z,67,59
2023-03-16T04:00Z,72,64
2023-03-16T04:30Z,75,65
2023-03-16T05:00Z,67,69
2023-03-16T05:30Z,71,75
2023-03-16T06:00Z,73,88
2023-03-16T06:30Z,76,103
2023-03-16T07:00Z,88,110
2023-03-16T07:30Z,99,118
2023-03-16T08:00Z,116,112
2023-03-16T08:30Z,116,115
2023-03-16T09:00Z,116,109
2023-03-16T09:30Z,114,108
2023-03-16T10:00Z,109,103
2023-03-16T10:30Z,107,99
2023-03-16T11:00Z,98,97
2023-03-16T11:30Z,99,96
2023-03-16T12:00Z,95,97
2023-03-16T12:30Z,94,97
2023-03-16T13:00Z,100,100
2023-03-16T13:30Z,99,102
2023-03-16T14:00Z,103,107
2023-03-16T14:30Z,104,111
