from,regions.regionid,regions.intensity.forecast,biomass,coal,gas,hydro,imports,nuclear,other,solar,wind
2023-05-18T10:30Z,1,0,0.0,0.0,0.0,1.7,0.0,0.0,0.0,0.0,98.3
2023-05-18T10:30Z,2,1,0.6,0.0,0.0,0.6,2.1,39.9,0.0,3.4,53.4
2023-05-18T10:30Z,3,65,1.4,0.0,16.0,0.0,9.8,58.7,0.0,3.2,10.9
2023-05-18T10:30Z,4,2,0.1,0.0,0.0,0.0,61.5,32.2,0.0,4.3,2.0
2023-05-18T10:30Z,5,234,22.7,0.0,52.1,0.0,4.4,2.0,0.0,4.4,14.4
2023-05-18T10:30Z,6,46,0.7,0.0,11.4,1.8,5.6,29.9,0.0,26.0,24.6
2023-05-18T10:30Z,7,323,0.0,0.0,82.0,0.0,0.0,0.0,0.0,14.2,3.7
2023-05-18T10:30Z,8,192,0.7,0.0,47.4,0.0,14.7,8.4,0.0,25.0,3.8
2023-05-18T10:30Z,9,269,1.8,0.0,65.7,0.0,6.7,0.2,0.0,21.5,4.0
2023-05-18T10:30Z,10,202,0.0,0.0,25.1,0.0,39.3,0.0,0.0,29.4,6.1
2023-05-18T10:30Z,11,92,0.0,0.0,23.0,0.0,7.7,0.0,0.0,67.6,1.7
2023-05-18T10:30Z,12,116,0.0,0.0,27.5,0.0,41.5,0.0,0.0,30.4,0.6
2023-05-18T10:30Z,13,104,0.0,0.0,22.1,0.1,63.7,0.0,0.0,11.9,2.2
2023-05-18T10:30Z,14,104,0.0,0.0,22.0,0.1,64.1,0.0,0.0,11.6,2.2
2023-05-18T10:30Z,15,153,3.1,0.0,31.6,0.1,25.0,11.1,0.0,22.0,7.2
2023-05-18T10:30Z,16,14,0.5,0.0,3.3,0.9,0.0,31.0,0.0,2.6,61.6
2023-05-18T10:30Z,17,291,0.0,0.0,73.8,0.9,0.0,0.1,0.0,16.5,8.7
2023-05-18T10:30Z,18,144,2.6,0.0,31.0,0.2,20.8,12.6,0.0,19.6,13.2
2023-05-18T11:00Z,1,0,0.0,0.0,0.0,1.1,0.0,0.0,0.0,0.0,98.9
2023-05-18T11:00Z,2,1,0.6,0.0,0.0,0.4,2.0,39.3,0.0,3.5,54.3
2023-05-18T11:00Z,3,63,1.6,0.0,15.4,0.0,10.2,58.1,0.0,3.5,11.4
2023-05-18T11:00Z,4,2,0.1,0.0,0.0,0.0,61.1,32.1,0.0,4.4,2.2
2023-05-18T11:00Z,5,226,24.2,0.0,49.7,0.0,4.5,2.3,0.0,4.8,14.6
2023-05-18T11:00Z,6,44,0.8,0.0,10.8,1.5,5.8,30.1,0.0,26.4,24.6
2023-05-18T11:00Z,7,321,0.0,0.0,81.4,0.0,0.0,0.0,0.0,14.8,3.9
2023-05-18T11:00Z,8,185,0.7,0.0,45.6,0.0,15.6,8.6,0.0,25.8,3.7
2023-05-18T11:00Z,9,261,1.8,0.0,63.0,0.0,8.1,0.2,0.0,23.0,3.9
2023-05-18T11:00Z,10,204,0.0,0.0,26.3,0.0,38.9,0.0,0.0,28.5,6.3
2023-05-18T11:00Z,11,94,0.0,0.0,23.4,0.0,6.8,0.0,0.0,68.1,1.7
2023-05-18T11:00Z,12,114,0.0,0.0,26.9,0.0,42.3,0.0,0.0,30.2,0.5
2023-05-18T11:00Z,13,91,0.0,0.0,18.6,0.1,66.5,0.0,0.0,12.7,2.2
2023-05-18T11:00Z,14,91,0.0,0.0,18.6,0.1,66.8,0.0,0.0,12.4,2.1
2023-05-18T11:00Z,15,155,3.1,0.0,32.5,0.1,24.5,11.0,0.0,21.9,7.0
2023-05-18T11:00Z,16,4,0.6,0.0,0.9,0.7,0.0,31.5,0.0,2.8,63.6
2023-05-18T11:00Z,17,288,0.0,0.0,73.1,1.2,0.0,0.1,0.0,17.2,8.5
2023-05-18T11:00Z,18,142,2.6,0.0,31.5,0.2,20.4,12.5,0.0,19.6,13.1
2023-05-18T11:30Z,1,0,0.0,0.0,0.0,0.7,0.0,0.0,0.0,0.0,99.3
2023-05-18T11:30Z,2,1,0.6,0.0,0.0,0.3,1.4,39.1,0.0,3.5,55.2
2023-05-18T11:30Z,3,58,1.2,0.0,14.4,0.0,10.1,58.7,0.0,3.5,12.0
2023-05-18T11:30Z,4,2,0.1,0.0,0.0,0.0,61.3,31.8,0.0,4.4,2.4
2023-05-18T11:30Z,5,211,25.7,0.0,45.4,0.0,5.7,2.6,0.0,5.0,15.6
2023-05-18T11:30Z,6,40,0.7,0.0,9.7,1.8,5.6,30.4,0.0,26.4,25.4
2023-05-18T11:30Z,7,318,0.0,0.0,80.7,0.0,0.0,0.0,0.0,15.1,4.2
2023-05-18T11:30Z,8,180,0.7,0.0,44.4,0.0,15.2,9.1,0.0,26.4,4.1
2023-05-18T11:30Z,9,257,2.0,0.0,62.5,0.0,7.5,0.2,0.0,23.8,4.0
2023-05-18T11:30Z,10,203,0.0,0.0,25.6,0.0,39.4,0.0,0.0,28.3,6.6
2023-05-18T11:30Z,11,92,0.0,0.0,23.0,0.0,6.2,0.0,0.0,69.0,1.7
2023-05-18T11:30Z,12,99,0.0,0.0,22.9,0.0,44.8,0.0,0.0,31.7,0.6
2023-05-18T11:30Z,13,91,0.0,0.0,18.5,0.1,66.0,0.0,0.0,13.3,2.1
2023-05-18T11:30Z,14,91,0.0,0.0,18.5,0.1,66.4,0.0,0.0,12.9,2.1
2023-05-18T11:30Z,15,148,3.2,0.0,30.8,0.1,24.9,11.3,0.0,22.4,7.3
2023-05-18T11:30Z,16,6,0.6,0.0,1.2,0.6,0.0,31.3,0.0,2.7,63.6
2023-05-18T11:30Z,17,279,0.0,0.0,70.8,1.4,0.0,0.1,0.0,17.9,9.8
2023-05-18T11:30Z,18,137,2.7,0.0,30.0,0.2,20.7,12.8,0.0,20.0,13.6
2023-05-18T12:00Z,1,0,0.0,0.0,0.0,0.6,0.0,0.0,0.0,0.0,99.4
2023-05-18T12:00Z,2,1,0.6,0.0,0.0,0.2,1.4,38.3,0.0,3.3,56.2
2023-05-18T12:00Z,3,57,1.2,0.0,14.1,0.0,10.4,58.8,0.0,3.5,12.0
2023-05-18T12:00Z,4,2,0.1,0.0,0.0,0.0,61.7,31.5,0.0,4.2,2.6
2023-05-18T12:00Z,5,212,25.7,0.0,45.7,0.0,5.8,2.8,0.0,4.8,15.2
2023-05-18T12:00Z,6,37,0.6,0.0,9.0,2.2,5.5,30.9,0.0,26.4,25.4
2023-05-18T12:00Z,7,315,0.0,0.0,79.9,0.0,0.0,0.0,0.0,15.7,4.4
2023-05-18T12:00Z,8,173,0.7,0.0,42.8,0.0,15.8,9.5,0.0,27.1,4.2
2023-05-18T12:00Z,9,254,2.2,0.0,62.0,0.0,7.4,0.2,0.0,24.2,4.0
2023-05-18T12:00Z,10,204,0.0,0.0,25.6,0.0,39.5,0.0,0.0,27.6,7.3
2023-05-18T12:00Z,11,94,0.0,0.0,23.5,0.0,5.4,0.0,0.0,69.2,1.9
2023-05-18T12:00Z,12,95,0.0,0.0,21.9,0.0,46.0,0.0,0.0,31.5,0.6
2023-05-18T12:00Z,13,92,0.0,0.0,19.0,0.1,65.4,0.0,0.0,13.4,2.2
2023-05-18T12:00Z,14,93,0.0,0.0,18.9,0.1,66.0,0.0,0.0,12.9,2.2
2023-05-18T12:00Z,15,142,3.0,0.0,29.3,0.1,25.7,11.6,0.0,22.8,7.6
2023-05-18T12:00Z,16,6,0.6,0.0,1.4,0.4,0.0,30.8,0.0,2.6,64.2
2023-05-18T12:00Z,17,284,0.0,0.0,72.2,1.2,0.0,0.1,0.0,17.6,8.9
2023-05-18T12:00Z,18,134,2.6,0.0,28.8,0.2,21.2,13.0,0.0,20.2,14.0
2023-05-18T12:30Z,1,0,0.0,0.0,0.0,0.6,0.0,0.0,0.0,0.0,99.4
2023-05-18T12:30Z,2,1,0.6,0.0,0.0,0.2,1.1,38.2,0.0,3.1,56.8
2023-05-18T12:30Z,3,61,1.1,0.0,15.0,0.0,10.1,58.6,0.0,3.3,11.8
2023-05-18T12:30Z,4,2,0.1,0.0,0.0,0.0,62.0,31.2,0.0,4.0,2.7
2023-05-18T12:30Z,5,202,28.0,0.0,42.8,0.0,6.4,2.8,0.0,4.7,15.3
2023-05-18T12:30Z,6,40,0.6,0.0,10.0,2.9,5.1,30.5,0.0,25.5,25.4
2023-05-18T12:30Z,7,315,0.0,0.0,80.0,0.0,0.0,0.0,0.0,15.3,4.7
2023-05-18T12:30Z,8,178,0.6,0.0,43.9,0.0,15.3,9.5,0.0,26.5,4.2
2023-05-18T12:30Z,9,264,1.8,0.0,64.6,0.0,6.6,0.2,0.0,23.1,3.6
2023-05-18T12:30Z,10,205,0.0,0.0,25.7,0.0,39.5,0.0,0.0,26.9,8.0
2023-05-18T12:30Z,11,95,0.0,0.0,23.9,0.0,5.5,0.0,0.0,68.4,2.2
2023-05-18T12:30Z,12,92,0.0,0.0,21.1,0.0,47.4,0.0,0.0,30.9,0.6
2023-05-18T12:30Z,13,96,0.0,0.0,19.8,0.1,65.0,0.0,0.0,13.0,2.2
2023-05-18T12:30Z,14,96,0.0,0.0,19.8,0.1,65.4,0.0,0.0,12.6,2.2
2023-05-18T12:30Z,15,142,3.1,0.0,29.4,0.1,25.9,11.4,0.0,22.3,7.8
2023-05-18T12:30Z,16,4,0.6,0.0,0.8,0.4,0.0,30.8,0.0,2.5,65.0
2023-05-18T12:30Z,17,284,0.0,0.0,72.1,1.2,0.0,0.2,0.0,17.5,8.9
2023-05-18T12:30Z,18,134,2.6,0.0,28.8,0.2,21.5,12.9,0.0,19.8,14.2
2023-05-18T13:00Z,1,0,0.0,0.0,0.0,0.8,0.0,0.0,0.0,0.0,99.2
2023-05-18T13:00Z,2,1,0.7,0.0,0.0,0.3,1.5,38.1,0.0,3.0,56.6
2023-05-18T13:00Z,3,64,1.3,0.0,15.8,0.0,10.2,58.2,0.0,3.4,11.1
2023-05-18T13:00Z,4,2,0.1,0.0,0.0,0.0,62.0,30.8,0.0,4.0,3.1
2023-05-18T13:00Z,5,209,26.3,0.0,45.0,0.0,5.8,2.9,0.0,4.5,15.4
2023-05-18T13:00Z,6,45,0.7,0.0,11.0,2.1,5.5,31.1,0.0,25.8,23.9
2023-05-18T13:00Z,7,316,0.0,0.0,80.3,0.0,0.0,0.0,0.0,14.9,4.8
2023-05-18T13:00Z,8,180,0.5,0.0,44.3,0.0,15.9,9.6,0.0,25.5,4.1
2023-05-18T13:00Z,9,268,1.2,0.0,65.0,0.0,7.6,0.2,0.0,22.1,3.8
2023-05-18T13:00Z,10,215,0.0,0.0,28.6,0.0,38.0,0.0,0.0,25.1,8.2
2023-05-18T13:00Z,11,95,0.0,0.0,23.7,0.0,6.1,0.0,0.0,67.6,2.5
2023-05-18T13:00Z,12,91,0.0,0.0,20.8,0.0,48.8,0.0,0.0,29.7,0.7
2023-05-18T13:00Z,13,100,0.0,0.0,21.0,0.1,64.5,0.0,0.0,12.2,2.2
2023-05-18T13:00Z,14,100,0.0,0.0,21.0,0.1,64.8,0.0,0.0,12.0,2.2
2023-05-18T13:00Z,15,142,3.0,0.0,29.3,0.0,26.6,11.4,0.0,21.9,7.8
2023-05-18T13:00Z,16,1,0.6,0.0,0.1,0.3,0.0,30.9,0.0,2.4,65.8
2023-05-18T13:00Z,17,286,0.0,0.0,72.7,0.9,0.0,0.2,0.0,17.6,8.7
2023-05-18T13:00Z,18,136,2.5,0.0,28.7,0.1,21.9,12.9,0.0,19.4,14.4
2023-05-18T13:30Z,1,0,0.0,0.0,0.0,0.9,0.0,0.0,0.0,0.0,99.1
2023-05-18T13:30Z,2,1,0.7,0.0,0.0,0.3,1.7,38.1,0.0,2.8,56.4
2023-05-18T13:30Z,3,68,1.5,0.0,16.7,0.0,10.2,57.6,0.0,3.4,10.6
2023-05-18T13:30Z,4,2,0.1,0.0,0.0,0.0,61.8,30.5,0.0,4.1,3.4
2023-05-18T13:30Z,5,214,26.8,0.0,46.1,0.0,5.3,2.8,0.0,4.3,14.7
2023-05-18T13:30Z,6,45,0.8,0.0,11.0,1.4,5.5,32.0,0.0,25.9,23.3
2023-05-18T13:30Z,7,317,0.0,0.0,80.5,0.0,0.0,0.0,0.0,14.6,4.9
2023-05-18T13:30Z,8,186,0.7,0.0,45.8,0.0,15.4,9.8,0.0,23.9,4.3
2023-05-18T13:30Z,9,273,1.7,0.0,66.2,0.0,7.1,0.2,0.0,20.5,4.4
2023-05-18T13:30Z,10,216,0.0,0.0,28.6,0.0,38.3,0.0,0.0,24.3,8.8
2023-05-18T13:30Z,11,87,0.0,0.0,21.8,0.0,7.6,0.0,0.0,67.7,2.9
2023-05-18T13:30Z,12,96,0.0,0.0,22.0,0.0,49.5,0.0,0.0,27.9,0.7
2023-05-18T13:30Z,13,103,0.0,0.0,21.7,0.1,64.6,0.0,0.0,11.5,2.2
2023-05-18T13:30Z,14,103,0.0,0.0,21.7,0.1,64.8,0.0,0.0,11.3,2.1
2023-05-18T13:30Z,15,146,3.3,0.0,30.1,0.0,26.7,11.4,0.0,20.8,7.6
2023-05-18T13:30Z,16,1,0.6,0.0,0.0,0.4,0.0,30.8,0.0,2.2,66.0
2023-05-18T13:30Z,17,284,0.0,0.0,72.0,0.5,0.0,0.1,0.0,18.2,9.1
2023-05-18T13:30Z,18,138,2.8,0.0,29.3,0.1,22.0,12.9,0.0,18.5,14.4
2023-05-18T14:00Z,1,0,0.0,0.0,0.0,0.9,0.0,0.0,0.0,0.0,99.1
2023-05-18T14:00Z,2,1,0.7,0.0,0.0,0.3,1.7,38.3,0.0,2.6,56.4
2023-05-18T14:00Z,3,69,1.4,0.0,17.1,0.0,10.4,57.2,0.0,3.3,10.5
2023-05-18T14:00Z,4,2,0.1,0.0,0.0,0.0,61.9,30.6,0.0,4.0,3.3
2023-05-18T14:00Z,5,222,24.7,0.0,48.7,0.0,5.3,2.6,0.0,4.2,14.5
2023-05-18T14:00Z,6,44,0.8,0.0,10.7,0.3,5.8,32.7,0.0,25.7,24.0
2023-05-18T14:00Z,7,315,0.0,0.0,79.9,0.0,0.0,0.0,0.0,14.8,5.3
2023-05-18T14:00Z,8,186,0.8,0.0,45.7,0.0,16.4,10.0,0.0,22.4,4.7
2023-05-18T14:00Z,9,276,2.0,0.0,66.9,0.0,7.2,0.2,0.0,18.6,5.2
2023-05-18T14:00Z,10,217,0.0,0.0,28.9,0.0,38.6,0.0,0.0,23.3,9.1
2023-05-18T14:00Z,11,88,0.0,0.0,21.9,0.0,7.5,0.0,0.0,67.6,3.1
2023-05-18T14:00Z,12,97,0.0,0.0,22.2,0.0,50.6,0.0,0.0,26.4,0.7
2023-05-18T14:00Z,13,101,0.0,0.0,21.1,0.1,65.8,0.0,0.0,10.7,2.3
2023-05-18T14:00Z,14,101,0.0,0.0,21.1,0.1,66.0,0.0,0.0,10.6,2.3
2023-05-18T14:00Z,15,152,3.1,0.0,31.9,0.0,26.5,11.3,0.0,19.6,7.5
2023-05-18T14:00Z,16,1,0.6,0.0,0.2,0.5,0.0,30.5,0.0,2.1,66.2
