from,regions.regionid,regions.intensity.forecast,biomass,coal,gas,hydro,imports,nuclear,other,solar,wind
2023-03-30T09:00Z,1,2,0.1,0.0,0.6,51.1,0.4,3.1,0.0,0.2,44.5
2023-03-30T09:00Z,2,32,1.6,0.0,7.5,0.0,5.3,50.0,0.0,2.1,33.6
2023-03-30T09:00Z,3,38,1.8,0.0,8.9,0.0,6.9,45.5,0.0,1.3,35.6
2023-03-30T09:00Z,4,2,0.1,0.0,0.0,0.0,46.4,49.4,0.0,1.2,3.0
2023-03-30T09:00Z,5,116,29.9,0.0,20.2,0.0,2.3,2.5,0.0,2.0,43.1
2023-03-30T09:00Z,6,19,0.9,0.0,4.5,0.0,3.4,24.9,0.0,6.0,60.3
2023-03-30T09:00Z,7,309,0.0,0.0,78.3,0.0,0.0,0.0,0.0,7.0,14.7
2023-03-30T09:00Z,8,158,3.5,0.3,37.8,0.1,6.0,13.0,0.0,6.8,32.5
2023-03-30T09:00Z,9,122,12.4,1.3,22.6,0.0,2.4,1.0,0.0,6.3,54.1
2023-03-30T09:00Z,10,111,0.0,0.0,12.7,0.1,15.7,0.0,0.0,5.9,65.6
2023-03-30T09:00Z,11,232,0.0,0.0,58.9,0.0,0.0,0.0,0.0,31.6,9.5
2023-03-30T09:00Z,12,201,0.9,0.1,48.5,0.6,26.8,0.1,0.0,13.4,9.7
2023-03-30T09:00Z,13,120,0.1,0.0,21.8,1.7,26.1,0.0,0.0,5.7,44.7
2023-03-30T09:00Z,14,117,0.0,0.0,26.7,3.1,34.8,0.0,0.0,4.7,30.7
2023-03-30T09:00Z,15,118,5.1,0.4,23.3,0.7,14.8,11.2,0.0,7.1,37.4
2023-03-30T09:00Z,16,52,1.0,0.0,13.0,17.4,0.0,27.3,0.0,2.0,39.3
2023-03-30T09:00Z,17,248,0.0,0.0,62.9,0.0,0.0,0.0,0.0,6.2,30.9
2023-03-30T09:00Z,18,115,4.2,0.3,24.3,2.9,11.9,12.7,0.0,6.4,37.3
2023-03-30T09:30Z,1,2,0.1,0.0,0.6,46.5,0.4,3.5,0.0,0.2,48.6
2023-03-30T09:30Z,2,30,1.5,0.0,7.2,0.0,4.7,48.7,0.0,2.6,35.3
2023-03-30T09:30Z,3,42,1.7,0.0,10.1,0.0,7.0,44.4,0.0,1.4,35.4
2023-03-30T09:30Z,4,2,0.1,0.0,0.0,0.0,46.5,48.4,0.0,1.8,3.4
2023-03-30T09:30Z,5,115,29.9,0.0,20.0,0.0,2.6,2.7,0.0,2.5,42.4
2023-03-30T09:30Z,6,19,0.8,0.0,4.6,0.0,3.2,23.7,0.0,6.9,60.8
2023-03-30T09:30Z,7,285,0.0,0.0,72.4,0.0,0.0,0.0,0.0,9.7,17.9
2023-03-30T09:30Z,8,124,3.9,0.2,28.9,0.1,7.1,14.5,0.0,8.9,36.4
2023-03-30T09:30Z,9,107,12.6,0.7,19.7,0.0,2.9,1.1,0.0,7.4,55.5
2023-03-30T09:30Z,10,107,0.0,0.0,11.9,0.1,15.6,0.0,0.0,6.9,65.5
2023-03-30T09:30Z,11,209,0.0,0.0,53.0,0.0,0.0,0.0,0.0,37.5,9.5
2023-03-30T09:30Z,12,200,0.7,0.0,48.5,0.5,24.3,0.1,0.0,16.9,9.0
2023-03-30T09:30Z,13,127,0.0,0.0,24.2,1.5,24.5,0.0,0.0,6.6,43.2
2023-03-30T09:30Z,14,135,0.0,0.0,31.6,2.7,31.3,0.0,0.0,5.4,29.0
2023-03-30T09:30Z,15,100,5.4,0.4,18.6,0.6,15.1,11.3,0.0,9.2,39.4
2023-03-30T09:30Z,16,46,1.0,0.0,11.3,15.2,0.0,28.5,0.0,2.3,41.7
2023-03-30T09:30Z,17,232,0.0,0.0,58.8,0.0,0.0,0.0,0.0,7.4,33.8
2023-03-30T09:30Z,18,104,4.5,0.3,20.1,2.5,12.2,12.9,0.0,8.2,39.3
2023-03-30T10:00Z,1,3,0.1,0.0,0.6,41.1,0.3,3.6,0.0,0.3,54.0
2023-03-30T10:00Z,2,29,1.5,0.0,6.9,0.0,3.9,47.8,0.0,2.9,37.0
2023-03-30T10:00Z,3,35,1.3,0.0,8.3,0.0,6.5,45.0,0.0,1.5,37.3
2023-03-30T10:00Z,4,2,0.1,0.0,0.0,0.0,44.3,49.0,0.0,2.5,4.1
2023-03-30T10:00Z,5,115,27.3,0.0,21.0,0.0,2.6,2.9,0.0,2.9,43.4
2023-03-30T10:00Z,6,16,0.6,0.0,3.8,0.0,2.7,22.7,0.0,8.5,61.7
2023-03-30T10:00Z,7,282,0.0,0.0,71.7,0.0,0.0,0.0,0.0,10.5,17.8
2023-03-30T10:00Z,8,115,3.1,0.1,27.1,0.1,6.7,15.6,0.0,11.5,35.7
2023-03-30T10:00Z,9,100,10.9,0.3,19.4,0.0,3.0,1.2,0.0,9.3,55.9
2023-03-30T10:00Z,10,106,0.0,0.0,11.2,0.1,15.9,0.0,0.0,8.3,64.5
2023-03-30T10:00Z,11,201,0.0,0.0,50.9,0.0,0.0,0.0,0.0,40.3,8.8
2023-03-30T10:00Z,12,198,0.4,0.0,48.4,0.4,21.8,0.1,0.0,21.3,7.7
2023-03-30T10:00Z,13,129,0.0,0.0,25.0,1.2,24.0,0.0,0.0,8.1,41.6
2023-03-30T10:00Z,14,138,0.0,0.0,32.4,2.3,30.1,0.0,0.0,6.4,28.8
2023-03-30T10:00Z,15,101,5.2,0.4,19.4,0.5,14.2,11.2,0.0,10.8,38.4
2023-03-30T10:00Z,16,43,1.1,0.0,10.7,12.0,0.0,29.3,0.0,2.7,44.3
2023-03-30T10:00Z,17,224,0.0,0.0,56.8,0.0,0.0,0.0,0.0,8.7,34.4
2023-03-30T10:00Z,18,103,4.3,0.3,20.6,1.9,11.5,12.8,0.0,9.6,38.9
2023-03-30T10:30Z,1,2,0.1,0.0,0.4,38.3,0.2,3.4,0.0,0.2,57.3
2023-03-30T10:30Z,2,28,1.4,0.0,6.7,0.0,3.8,46.1,0.0,3.2,38.8
2023-03-30T10:30Z,3,32,0.8,0.0,7.8,0.0,6.8,45.3,0.0,1.6,37.6
2023-03-30T10:30Z,4,2,0.1,0.0,0.0,0.0,43.9,48.7,0.0,2.9,4.4
2023-03-30T10:30Z,5,113,28.2,0.0,20.1,0.0,3.5,3.0,0.0,2.9,42.3
2023-03-30T10:30Z,6,15,0.5,0.0,3.5,0.0,2.8,21.6,0.0,10.1,61.4
2023-03-30T10:30Z,7,262,0.0,0.0,66.5,0.0,0.0,0.0,0.0,13.4,20.1
2023-03-30T10:30Z,8,86,3.2,0.0,20.1,0.1,6.6,17.7,0.0,13.9,38.3
2023-03-30T10:30Z,9,76,12.4,0.2,13.2,0.0,3.4,1.2,0.0,11.8,57.8
2023-03-30T10:30Z,10,102,0.0,0.0,11.2,0.0,14.7,0.0,0.0,10.3,63.8
2023-03-30T10:30Z,11,185,0.0,0.0,46.9,0.0,0.0,0.0,0.0,44.6,8.5
2023-03-30T10:30Z,12,194,0.4,0.0,47.7,0.3,19.3,0.1,0.0,25.0,7.3
2023-03-30T10:30Z,13,121,0.0,0.0,23.2,1.0,23.2,0.0,0.0,10.1,42.4
2023-03-30T10:30Z,14,125,0.0,0.0,29.1,2.0,30.7,0.0,0.0,7.7,30.6
2023-03-30T10:30Z,15,94,5.4,0.3,17.9,0.4,14.0,11.1,0.0,12.6,38.1
2023-03-30T10:30Z,16,38,1.1,0.0,9.3,10.7,0.1,29.8,0.0,2.9,46.1
2023-03-30T10:30Z,17,209,0.0,0.0,53.0,0.0,0.0,0.0,0.0,10.8,36.3
2023-03-30T10:30Z,18,95,4.6,0.3,19.0,1.7,11.5,12.7,0.0,11.3,39.0
2023-03-30T11:00Z,1,1,0.1,0.0,0.3,36.4,0.1,3.0,0.0,0.1,60.1
2023-03-30T11:00Z,2,28,1.4,0.0,6.6,0.0,2.4,45.0,0.0,3.5,41.2
2023-03-30T11:00Z,3,30,1.0,0.0,7.4,0.0,5.2,45.4,0.0,1.9,39.2
2023-03-30T11:00Z,4,2,0.1,0.0,0.0,0.0,40.4,50.3,0.0,3.7,5.5
2023-03-30T11:00Z,5,111,31.4,0.0,18.7,0.0,2.5,3.1,0.0,2.8,41.5
2023-03-30T11:00Z,6,13,0.5,0.0,3.2,0.0,2.0,20.5,0.0,11.6,62.2
2023-03-30T11:00Z,7,212,0.0,0.0,53.7,0.0,0.0,0.0,0.0,19.8,26.5
2023-03-30T11:00Z,8,62,4.0,0.1,13.4,0.1,6.1,18.4,0.0,16.0,41.9
2023-03-30T11:00Z,9,79,13.1,0.4,13.2,0.0,2.8,1.3,0.0,13.7,55.6
2023-03-30T11:00Z,10,103,0.0,0.0,12.9,0.0,12.9,0.0,0.0,12.5,61.7
2023-03-30T11:00Z,11,170,0.0,0.0,43.1,0.0,0.0,0.0,0.0,48.7,8.1
2023-03-30T11:00Z,12,170,0.7,0.0,41.4,0.2,18.6,0.1,0.0,30.6,8.4
2023-03-30T11:00Z,13,117,0.1,0.0,22.5,0.9,20.7,0.0,0.0,12.1,43.8
2023-03-30T11:00Z,14,122,0.0,0.0,28.7,1.8,28.4,0.0,0.0,9.1,32.1
2023-03-30T11:00Z,15,89,5.3,0.3,17.0,0.4,12.8,11.0,0.0,14.8,38.4
2023-03-30T11:00Z,16,33,1.1,0.0,8.0,9.1,0.2,30.3,0.0,3.1,48.3
2023-03-30T11:00Z,17,185,0.0,0.0,47.0,0.0,0.0,0.0,0.0,13.2,39.7
2023-03-30T11:00Z,18,88,4.5,0.3,17.7,1.4,10.6,12.6,0.0,13.3,39.6
2023-03-30T11:30Z,1,1,0.1,0.0,0.3,33.5,0.1,2.3,0.0,0.2,63.5
2023-03-30T11:30Z,2,27,1.4,0.0,6.4,0.0,1.6,44.3,0.0,3.7,42.6
2023-03-30T11:30Z,3,28,0.9,0.0,6.8,0.0,4.4,45.0,0.0,2.1,40.7
2023-03-30T11:30Z,4,2,0.1,0.0,0.0,0.0,38.2,51.2,0.0,4.2,6.3
2023-03-30T11:30Z,5,112,31.0,0.0,19.0,0.0,2.2,3.4,0.0,2.7,41.7
2023-03-30T11:30Z,6,12,0.4,0.0,2.8,0.1,1.5,19.4,0.0,13.0,62.7
2023-03-30T11:30Z,7,211,0.0,0.0,53.6,0.0,0.0,0.0,0.0,21.2,25.2
2023-03-30T11:30Z,8,62,3.6,0.2,13.6,0.2,5.1,18.6,0.0,17.3,41.4
2023-03-30T11:30Z,9,87,12.1,0.9,15.1,0.0,1.9,1.3,0.0,15.5,53.1
2023-03-30T11:30Z,10,90,0.0,0.0,12.5,0.0,9.8,0.0,0.0,15.3,62.4
2023-03-30T11:30Z,11,167,0.0,0.0,42.3,0.0,0.0,0.0,0.0,49.8,7.9
2023-03-30T11:30Z,12,161,0.6,0.0,39.3,0.2,17.3,0.1,0.0,34.5,8.0
2023-03-30T11:30Z,13,109,0.1,0.0,21.9,0.7,19.6,0.0,0.0,14.7,43.0
2023-03-30T11:30Z,14,117,0.0,0.0,27.2,1.5,29.5,0.0,0.0,9.9,31.9
2023-03-30T11:30Z,15,86,4.7,0.4,16.6,0.4,11.9,11.0,0.0,16.4,38.6
2023-03-30T11:30Z,16,32,1.1,0.0,7.7,7.9,0.3,30.4,0.0,3.4,49.3
