from,regions.regionid,regions.intensity.forecast,biomass,coal,gas,hydro,imports,nuclear,other,solar,wind
2023-05-07T23:30Z,1,0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,99.6
2023-05-07T23:30Z,2,4,1.0,0.0,0.0,0.1,1.1,19.5,0.0,0.0,78.2
2023-05-07T23:30Z,3,29,0.4,0.0,6.9,0.0,8.0,44.3,0.0,0.0,40.3
2023-05-07T23:30Z,4,2,0.5,0.0,0.0,0.0,44.7,29.9,0.0,0.0,24.8
2023-05-07T23:30Z,5,141,26.5,0.0,27.6,0.0,12.5,13.0,0.0,0.0,20.5
2023-05-07T23:30Z,6,34,0.6,0.0,8.1,1.8,3.4,24.1,0.0,0.0,62.1
2023-05-07T23:30Z,7,358,0.0,0.0,90.8,0.0,0.0,0.0,0.0,0.0,9.2
2023-05-07T23:30Z,8,68,0.7,0.0,16.8,0.7,5.4,31.2,0.0,0.0,45.2
2023-05-07T23:30Z,9,181,19.6,0.0,39.9,0.0,9.2,9.5,0.0,0.0,21.9
2023-05-07T23:30Z,10,197,9.3,0.0,47.0,0.0,9.2,4.7,0.0,0.0,29.8
2023-05-07T23:30Z,11,149,4.8,0.0,35.5,0.2,21.4,10.4,0.0,0.0,27.6
2023-05-07T23:30Z,12,153,5.7,0.0,36.1,0.2,25.2,12.5,0.0,0.0,20.3
2023-05-07T23:30Z,13,142,3.3,0.0,33.1,0.2,44.5,3.2,0.0,0.0,15.7
2023-05-07T23:30Z,14,114,0.0,0.0,26.2,0.2,65.4,0.0,0.0,0.0,8.1
2023-05-07T23:30Z,15,121,7.2,0.0,28.0,0.2,18.7,17.5,0.0,0.0,28.4
2023-05-07T23:30Z,16,4,0.9,0.0,0.3,0.4,1.0,17.2,0.0,0.0,80.2
2023-05-07T23:30Z,17,200,0.3,0.0,50.4,1.0,0.3,5.8,0.0,0.0,42.2
2023-05-07T23:30Z,18,111,5.9,0.0,25.8,0.3,15.2,16.7,0.0,0.0,36.1
2023-05-08T00:00Z,1,0,0.0,0.0,0.0,0.8,0.0,0.0,0.0,0.0,99.2
2023-05-08T00:00Z,2,4,1.2,0.0,0.0,0.2,1.3,18.2,0.0,0.0,79.1
2023-05-08T00:00Z,3,40,0.4,0.0,9.7,0.1,6.8,42.5,0.0,0.0,40.5
2023-05-08T00:00Z,4,3,0.6,0.0,0.0,0.1,43.3,27.9,0.0,0.0,28.0
2023-05-08T00:00Z,5,123,27.4,0.0,22.8,0.0,13.0,13.8,0.0,0.1,22.9
2023-05-08T00:00Z,6,34,0.6,0.0,7.2,1.2,4.6,23.4,0.0,0.0,63.0
2023-05-08T00:00Z,7,345,0.0,0.0,87.7,0.0,0.0,0.0,0.0,0.1,12.3
2023-05-08T00:00Z,8,46,0.9,0.0,10.9,0.6,5.7,33.4,0.0,0.0,48.5
2023-05-08T00:00Z,9,188,18.3,0.0,42.0,0.0,8.6,9.9,0.0,0.1,21.1
2023-05-08T00:00Z,10,215,8.0,0.0,51.8,0.0,8.4,4.7,0.0,0.0,27.0
2023-05-08T00:00Z,11,214,3.1,0.0,52.6,0.1,14.9,7.4,0.0,0.2,21.6
2023-05-08T00:00Z,12,135,5.7,0.0,31.2,0.2,27.2,14.0,0.0,0.2,21.5
2023-05-08T00:00Z,13,141,2.9,0.0,33.1,0.1,45.4,3.5,0.0,0.1,14.9
2023-05-08T00:00Z,14,109,0.0,0.0,24.9,0.1,67.1,0.0,0.0,0.2,7.7
2023-05-08T00:00Z,15,122,7.1,0.0,28.1,0.2,18.5,17.3,0.0,0.1,28.7
2023-05-08T00:00Z,16,6,1.1,0.0,0.2,0.4,1.8,17.0,0.0,0.0,79.6
2023-05-08T00:00Z,17,196,0.4,0.0,48.7,0.8,1.9,6.4,0.0,0.0,41.9
2023-05-08T00:00Z,18,112,5.9,0.0,25.8,0.2,15.3,16.6,0.0,0.1,36.1
2023-05-08T00:30Z,1,0,0.0,0.0,0.0,0.8,0.0,0.0,0.0,0.0,99.2
2023-05-08T00:30Z,2,3,1.0,0.0,0.0,0.3,1.0,18.5,0.0,0.0,79.2
2023-05-08T00:30Z,3,39,0.4,0.0,9.5,0.1,4.5,42.5,0.0,0.0,43.1
2023-05-08T00:30Z,4,2,0.7,0.0,0.0,0.1,34.7,28.9,0.0,0.0,35.6
2023-05-08T00:30Z,5,118,27.3,0.0,21.6,0.0,10.2,14.5,0.0,0.0,26.3
2023-05-08T00:30Z,6,31,0.6,0.0,7.3,1.2,2.1,23.5,0.0,0.0,65.3
2023-05-08T00:30Z,7,344,0.0,0.0,87.2,0.0,0.0,0.0,0.0,0.0,12.8
2023-05-08T00:30Z,8,42,0.5,0.0,10.3,0.6,3.3,33.3,0.0,0.0,52.1
2023-05-08T00:30Z,9,168,19.8,0.0,36.5,0.0,7.5,11.0,0.0,0.0,25.1
2023-05-08T00:30Z,10,216,8.8,0.0,47.6,0.0,10.2,5.2,0.0,0.0,28.2
2023-05-08T00:30Z,11,214,3.2,0.0,52.7,0.1,12.2,7.7,0.0,0.0,24.1
2023-05-08T00:30Z,12,126,6.0,0.0,29.2,0.2,23.2,15.4,0.0,0.0,26.0
2023-05-08T00:30Z,13,149,3.7,0.0,33.8,0.1,40.2,4.4,0.0,0.0,17.7
2023-05-08T00:30Z,14,119,0.0,0.0,27.5,0.1,63.4,0.0,0.0,0.0,9.0
2023-05-08T00:30Z,15,119,7.4,0.0,26.8,0.2,15.7,18.0,0.0,0.0,32.0
2023-05-08T00:30Z,16,6,0.9,0.0,0.7,0.4,0.8,17.3,0.0,0.0,79.7
2023-05-08T00:30Z,17,180,0.3,0.0,45.5,0.8,0.3,6.5,0.0,0.0,46.5
2023-05-08T00:30Z,18,108,6.1,0.0,24.6,0.2,12.8,17.2,0.0,0.0,39.0
