from,regions.regionid,regions.intensity.forecast,biomass,coal,gas,hydro,imports,nuclear,other,solar,wind
2023-03-26T04:00Z,1,0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,86.0
2023-03-26T04:00Z,2,42,1.9,0.0,4.1,0.3,5.1,43.2,0.0,0.0,45.4
2023-03-26T04:00Z,3,14,0.5,0.0,2.2,0.1,4.6,55.7,0.0,0.0,36.9
2023-03-26T04:00Z,4,4,0.5,0.0,0.3,0.1,27.4,62.9,0.0,0.0,8.9
2023-03-26T04:00Z,5,120,37.0,0.0,19.0,0.0,5.0,14.7,0.0,0.0,24.3
2023-03-26T04:00Z,6,187,0.4,0.0,4.9,1.7,36.9,15.6,0.0,0.0,40.4
2023-03-26T04:00Z,7,332,0.1,0.0,83.5,0.0,0.7,2.2,0.0,0.0,13.5
2023-03-26T04:00Z,8,98,1.4,0.0,4.9,0.9,18.8,35.3,0.0,0.0,38.8
2023-03-26T04:00Z,9,156,23.2,0.0,32.4,0.0,3.1,8.6,0.0,0.0,32.6
2023-03-26T04:00Z,10,238,5.1,0.0,26.4,0.2,31.8,1.5,0.0,0.0,35.0
2023-03-26T04:00Z,11,380,0.0,0.0,96.6,0.0,0.0,0.0,0.0,0.0,3.4
2023-03-26T04:00Z,12,267,1.2,0.0,63.3,0.3,24.0,0.8,0.0,0.0,10.5
2023-03-26T04:00Z,13,166,0.7,0.0,29.5,1.6,50.9,0.2,0.0,0.0,17.1
2023-03-26T04:00Z,14,114,0.0,0.0,13.8,2.5,72.1,0.0,0.0,0.0,11.6
2023-03-26T04:00Z,15,162,8.1,0.0,30.3,0.5,18.9,17.3,0.0,0.0,24.9
2023-03-26T04:00Z,16,38,1.4,0.0,6.0,4.0,2.7,32.4,0.0,0.0,53.5
2023-03-26T04:00Z,17,250,0.1,0.0,60.3,3.9,2.7,1.6,0.0,0.0,31.4
2023-03-26T04:00Z,18,153,6.6,0.0,29.7,1.2,15.7,17.8,0.0,0.0,28.9
2023-03-26T04:30Z,1,0,0.0,0.0,0.0,14.7,0.0,0.0,0.0,0.0,85.3
2023-03-26T04:30Z,2,22,2.1,0.0,4.9,2.2,0.0,40.5,0.0,0.0,50.3
2023-03-26T04:30Z,3,4,0.4,0.0,0.8,0.4,7.6,54.3,0.0,0.0,36.6
2023-03-26T04:30Z,4,2,0.1,0.0,0.1,0.1,42.1,53.0,0.0,0.0,4.5
2023-03-26T04:30Z,5,130,40.8,0.0,20.5,0.0,7.8,11.6,0.0,0.0,19.3
2023-03-26T04:30Z,6,38,0.7,0.0,9.4,0.9,3.1,31.3,0.0,0.0,54.6
2023-03-26T04:30Z,7,376,0.0,0.0,95.5,0.0,0.0,0.0,0.0,0.0,4.5
2023-03-26T04:30Z,8,68,2.3,0.0,16.5,0.4,5.2,37.7,0.0,0.0,37.9
2023-03-26T04:30Z,9,134,27.8,0.0,25.6,0.0,5.3,7.8,0.0,0.0,33.5
2023-03-26T04:30Z,10,131,11.2,0.0,29.0,0.1,7.8,3.0,0.0,0.0,48.9
2023-03-26T04:30Z,11,385,0.0,0.0,97.7,0.0,0.0,0.0,0.0,0.0,2.3
2023-03-26T04:30Z,12,191,4.9,0.0,42.0,0.0,38.3,4.7,0.0,0.0,10.1
2023-03-26T04:30Z,13,131,3.5,0.0,25.5,0.5,50.4,1.9,0.0,0.0,18.1
2023-03-26T04:30Z,14,98,0.1,0.0,15.1,0.9,72.0,0.1,0.0,0.0,11.9
2023-03-26T04:30Z,15,125,10.1,0.0,26.8,0.5,19.4,17.4,0.0,0.0,26.0
2023-03-26T04:30Z,16,17,1.8,0.0,3.7,5.1,0.0,31.5,0.0,0.0,58.0
2023-03-26T04:30Z,17,203,0.5,0.0,51.4,1.5,0.0,7.4,0.0,0.0,39.2
2023-03-26T04:30Z,18,117,8.3,0.0,25.7,1.1,15.4,18.4,0.0,0.0,31.1
2023-03-26T05:00Z,1,0,0.0,0.0,0.0,16.7,0.0,0.0,0.0,0.0,83.3
2023-03-26T05:00Z,2,23,2.1,0.0,5.1,2.8,0.0,39.0,0.0,0.1,50.9
2023-03-26T05:00Z,3,5,0.4,0.0,1.1,0.5,6.2,53.2,0.0,0.1,38.6
2023-03-26T05:00Z,4,3,0.2,0.0,0.3,0.2,38.4,54.6,0.0,0.0,6.3
2023-03-26T05:00Z,5,127,41.5,0.0,19.6,0.1,6.3,11.5,0.0,0.1,21.1
2023-03-26T05:00Z,6,48,0.6,0.0,12.0,0.9,2.3,29.9,0.0,0.1,54.1
2023-03-26T05:00Z,7,369,0.0,0.0,93.6,0.0,0.0,0.7,0.0,0.1,5.7
2023-03-26T05:00Z,8,59,2.8,0.0,14.1,0.5,4.2,38.6,0.0,0.1,39.7
2023-03-26T05:00Z,9,132,27.5,0.0,25.1,0.0,4.2,7.7,0.0,0.1,35.4
2023-03-26T05:00Z,10,131,10.9,0.0,29.3,0.1,7.4,3.0,0.0,0.1,49.3
2023-03-26T05:00Z,11,386,0.0,0.0,97.9,0.0,0.0,0.0,0.0,0.2,1.9
2023-03-26T05:00Z,12,210,4.0,0.0,47.4,0.0,36.4,4.3,0.0,0.0,7.9
2023-03-26T05:00Z,13,142,3.1,0.0,28.4,0.5,49.7,1.8,0.0,0.1,16.4
2023-03-26T05:00Z,14,105,0.2,0.0,17.0,0.8,71.2,0.1,0.0,0.1,10.8
2023-03-26T05:00Z,15,128,10.0,0.0,27.6,0.5,18.0,17.3,0.0,0.1,26.5
2023-03-26T05:00Z,16,17,1.8,0.0,3.7,6.1,0.0,30.6,0.0,0.1,57.7
2023-03-26T05:00Z,17,199,0.4,0.0,50.4,1.4,0.0,7.4,0.0,0.1,40.3
2023-03-26T05:00Z,18,119,8.2,0.0,26.2,1.3,14.4,18.3,0.0,0.1,31.6
2023-03-26T05:30Z,1,0,0.0,0.0,0.0,19.2,0.0,0.0,0.0,0.0,80.8
2023-03-26T05:30Z,2,22,2.0,0.0,4.9,3.8,0.0,37.6,0.0,0.0,51.6
2023-03-26T05:30Z,3,4,0.4,0.0,0.9,0.7,5.9,52.6,0.0,0.0,39.6
2023-03-26T05:30Z,4,3,0.3,0.0,0.4,0.3,38.0,53.9,0.0,0.0,7.2
2023-03-26T05:30Z,5,118,41.2,0.0,17.3,0.1,6.5,11.8,0.0,0.0,23.2
2023-03-26T05:30Z,6,44,0.6,0.0,11.1,1.4,2.2,29.0,0.0,0.0,55.7
2023-03-26T05:30Z,7,362,0.0,0.0,91.8,0.0,0.0,2.0,0.0,0.0,6.2
2023-03-26T05:30Z,8,62,2.4,0.0,14.9,0.8,3.9,37.3,0.0,0.0,40.6
2023-03-26T05:30Z,9,119,27.5,0.0,21.8,0.1,4.3,8.1,0.0,0.0,38.2
2023-03-26T05:30Z,10,138,10.3,0.0,31.2,0.1,7.1,3.0,0.0,0.1,48.2
2023-03-26T05:30Z,11,387,0.0,0.0,98.1,0.0,0.0,0.1,0.0,0.0,1.8
2023-03-26T05:30Z,12,196,4.3,0.0,43.7,0.1,36.7,5.6,0.0,0.0,9.6
2023-03-26T05:30Z,13,140,3.2,0.0,27.9,0.4,49.4,2.2,0.0,0.0,16.8
2023-03-26T05:30Z,14,108,0.1,0.0,17.7,0.8,71.7,0.0,0.0,0.0,9.7
2023-03-26T05:30Z,15,127,9.8,0.0,27.5,0.5,17.8,17.1,0.0,0.0,27.2
2023-03-26T05:30Z,16,15,1.8,0.0,3.2,6.9,0.0,29.8,0.0,0.0,58.3
2023-03-26T05:30Z,17,189,0.4,0.0,47.8,1.7,0.0,7.5,0.0,0.0,42.6
2023-03-26T05:30Z,18,117,8.1,0.0,25.9,1.4,14.2,18.1,0.0,0.0,32.3
2023-03-26T06:00Z,1,0,0.0,0.0,0.0,18.8,0.0,0.0,0.0,0.0,81.2
2023-03-26T06:00Z,2,18,2.0,0.0,4.0,4.1,0.0,36.3,0.0,0.0,53.7
2023-03-26T06:00Z,3,4,0.4,0.0,0.8,0.8,6.9,51.9,0.0,0.0,39.2
2023-03-26T06:00Z,4,3,0.2,0.0,0.3,0.3,39.8,52.7,0.0,0.0,6.6
2023-03-26T06:00Z,5,110,39.1,0.0,15.9,0.1,7.7,12.1,0.0,0.0,25.2
