from,regions.regionid,regions.intensity.forecast,biomass,coal,gas,hydro,imports,nuclear,other,solar,wind
2023-03-13T12:30Z,1,0,0.0,0.0,0.0,6.6,0.0,0.0,0.0,0.0,93.4
2023-03-13T12:30Z,2,5,1.3,0.0,0.8,2.5,0.0,18.6,0.0,0.4,76.5
2023-03-13T12:30Z,3,5,0.4,0.0,1.2,0.7,4.4,36.6,0.0,0.6,56.1
2023-03-13T12:30Z,4,3,0.4,0.0,0.2,0.7,29.7,38.8,0.0,1.4,28.9
2023-03-13T12:30Z,5,78,30.9,0.0,10.3,0.1,4.3,6.0,0.0,1.5,46.9
2023-03-13T12:30Z,6,17,0.4,0.0,4.2,0.9,1.1,14.2,0.0,3.4,75.7
2023-03-13T12:30Z,7,85,1.6,0.0,21.0,0.3,1.5,8.9,0.0,13.8,52.9
2023-03-13T12:30Z,8,27,3.9,0.0,5.4,0.6,3.7,20.9,0.0,3.8,61.6
2023-03-13T12:30Z,9,79,16.3,0.0,14.3,0.1,3.1,3.3,0.0,5.1,57.9
2023-03-13T12:30Z,10,77,0.0,0.0,4.7,0.2,21.1,0.0,0.0,11.2,62.7
2023-03-13T12:30Z,11,76,0.8,0.0,18.3,0.3,8.9,0.2,0.0,52.3,19.2
2023-03-13T12:30Z,12,90,3.2,0.0,18.9,1.2,36.8,0.7,0.0,18.8,20.3
2023-03-13T12:30Z,13,59,0.0,0.0,6.5,2.5,41.3,0.0,0.0,8.2,41.5
2023-03-13T12:30Z,14,47,0.0,0.0,7.8,4.0,55.7,0.0,0.0,6.1,26.4
2023-03-13T12:30Z,15,55,5.8,0.0,8.4,0.8,18.1,10.5,0.0,9.6,46.8
2023-03-13T12:30Z,16,12,1.1,0.0,2.8,4.9,0.0,15.4,0.0,0.3,75.6
2023-03-13T12:30Z,17,60,0.4,0.0,15.0,1.6,0.0,5.3,0.0,8.0,69.8
2023-03-13T12:30Z,18,49,4.8,0.0,8.1,1.4,14.4,10.8,0.0,8.2,52.3
2023-03-13T13:00Z,1,0,0.0,0.0,0.0,6.3,0.0,0.0,0.0,0.0,93.7
2023-03-13T13:00Z,2,4,1.2,0.0,0.8,2.4,0.0,18.6,0.0,0.3,76.7
2023-03-13T13:00Z,3,5,0.4,0.0,1.0,0.7,3.5,36.3,0.0,0.5,57.6
2023-03-13T13:00Z,4,3,0.5,0.0,0.2,0.7,25.8,39.1,0.0,1.4,32.4
2023-03-13T13:00Z,5,80,30.8,0.0,10.9,0.1,3.4,5.9,0.0,1.4,47.4
2023-03-13T13:00Z,6,18,0.4,0.0,4.4,0.9,0.8,14.3,0.0,3.5,75.7
2023-03-13T13:00Z,7,91,1.4,0.0,22.5,0.2,0.9,8.8,0.0,14.4,51.7
2023-03-13T13:00Z,8,26,3.7,0.0,5.1,0.6,2.4,21.2,0.0,3.9,62.9
2023-03-13T13:00Z,9,82,16.2,0.1,15.1,0.1,2.4,3.3,0.0,5.3,57.6
2023-03-13T13:00Z,10,78,0.0,0.0,4.8,0.2,21.0,0.0,0.0,11.0,62.9
2023-03-13T13:00Z,11,87,1.0,0.0,21.0,0.3,9.2,0.2,0.0,47.9,20.4
2023-03-13T13:00Z,12,96,3.6,0.0,20.6,1.1,34.2,0.8,0.0,17.6,22.0
2023-03-13T13:00Z,13,61,0.0,0.0,6.7,2.3,40.4,0.0,0.0,8.1,42.6
2023-03-13T13:00Z,14,48,0.0,0.0,8.1,3.9,55.3,0.0,0.0,5.9,26.9
2023-03-13T13:00Z,15,56,5.8,0.0,8.6,0.8,17.3,10.5,0.0,9.2,47.9
2023-03-13T13:00Z,16,13,1.1,0.0,2.9,4.4,0.0,15.4,0.0,0.2,75.9
2023-03-13T13:00Z,17,62,0.4,0.0,15.5,1.5,0.0,5.2,0.0,8.1,69.3
2023-03-13T13:00Z,18,50,4.8,0.0,8.2,1.3,13.9,10.8,0.0,7.9,53.1
2023-03-13T13:30Z,1,0,0.0,0.0,0.0,5.9,0.0,0.0,0.0,0.0,94.1
2023-03-13T13:30Z,2,5,1.2,0.0,0.8,2.3,0.0,18.6,0.0,0.3,76.8
2023-03-13T13:30Z,3,5,0.4,0.0,1.1,0.7,3.4,36.8,0.0,0.5,57.1
2023-03-13T13:30Z,4,3,0.5,0.0,0.2,0.7,26.1,39.8,0.0,1.2,31.5
2023-03-13T13:30Z,5,80,30.6,0.0,10.9,0.1,3.5,6.1,0.0,1.3,47.5
2023-03-13T13:30Z,6,19,0.4,0.0,4.6,0.8,0.8,14.2,0.0,3.5,75.7
2023-03-13T13:30Z,7,92,1.4,0.0,22.7,0.2,0.8,8.7,0.0,14.3,51.8
2023-03-13T13:30Z,8,25,3.6,0.0,5.1,0.6,2.3,21.8,0.0,4.3,62.3
2023-03-13T13:30Z,9,83,16.2,0.2,15.4,0.1,2.3,3.2,0.0,5.5,57.1
2023-03-13T13:30Z,10,78,0.0,0.0,4.5,0.2,21.5,0.0,0.0,10.4,63.4
2023-03-13T13:30Z,11,96,1.2,0.0,23.1,0.3,11.2,0.3,0.0,42.5,21.4
2023-03-13T13:30Z,12,99,3.6,0.0,21.2,1.1,35.1,1.0,0.0,15.9,22.0
2023-03-13T13:30Z,13,62,0.0,0.0,6.8,2.2,41.4,0.0,0.0,7.5,42.1
2023-03-13T13:30Z,14,50,0.0,0.0,8.5,3.8,56.0,0.0,0.0,5.4,26.4
